iteration,max_Volume,min_loss,max_loss,min_Volume
1,,,10.236080858886115,29372.894686272622
2,,,12.013973446843115,16450.794230704952
3,,,18.081660196445835,27230.834383820467
4,,,28.513972718787496,13902.920360503118
5,,,30.600950042492364,10323.347225274714
6,,,21.500842804199376,7153.476326765508
7,,,12.910708055141685,15811.323319697982
8,,,30.93052015235509,14480.092612817172
9,,,12.628859619461664,31278.50817043382
10,,,10.064198913982722,15290.229805017892
