freq,input_voltage,w1,l1_leg,l1_top,l2,h1,l1_center,Tx_turns,Tx_width,Tx_height,Tx_space_x,Tx_space_y,Tx_preg,Rx_width,Rx_height,Rx_space_x,Rx_space_y,Rx_preg,g2,Tx_layer_space_x,Tx_layer_space_y,Tx_current,Ltx,Lrx1,Lrx2,M1,M2,k1,k2,Lmt,Lmr1,Lmr2,Llt,Llr1,Llr2,Rtx,Rrx1,Rrx2,Rx_current_optimetric,copperloss_Tx,copperloss_Rx1,copperloss_Rx2,magnetizing_current_optimetric,coreloss,B_core,B_left,B_right,B_center,B_top_left,B_bottom_left,B_top_right,B_bottom_right,magnetizing_copperloss_Tx,magnetizing_copperloss_Rx1,magnetizing_copperloss_Rx2
310.0,200.0,32.0,13.8,0.8,23.7,2.52,6.0,3.0,1.9,0.175,3.5,1.9,0.19,9.6,0.035,2.4,4.2,0.26,1.75,0.5,2.1,5.0,2.5076,0.3438,0.345,-0.8266,-0.8224,-0.8903,-0.8842,1.9877,0.2725,0.2697,0.5199,0.0713,0.0753,0.1937,0.0372,0.037,6,0.5922,0.8089,0.0885,14.611,4.3766,0.4689,0.0918,0.0935,0.1382,1.1366,1.1267,1.1391,1.1323,9.91958,6.21562,4.25733
310.0,200.0,32.0,13.8,0.8,23.7,2.52,6.0,3.0,1.9,0.175,3.5,1.9,0.19,9.6,0.035,2.4,4.2,0.26,1.75,0.5,2.1,5.0,2.5076,0.3438,0.345,-0.8266,-0.8224,-0.8903,-0.8842,1.9877,0.2725,0.2697,0.5199,0.0713,0.0753,0.1937,0.0372,0.037,12,0.5922,0.8089,0.0885,29.2221,25.1548,0.4689,0.0918,0.0935,0.1382,1.1366,1.1267,1.1391,1.1323,39.6783,24.8625,17.0293
310.0,200.0,32.0,13.8,0.8,23.7,2.52,6.0,3.0,1.9,0.175,3.5,1.9,0.19,9.6,0.035,2.4,4.2,0.26,1.75,0.5,2.1,5.0,2.5076,0.3438,0.345,-0.8266,-0.8224,-0.8903,-0.8842,1.9877,0.2725,0.2697,0.5199,0.0713,0.0753,0.1937,0.0372,0.037,18,0.5922,0.8089,0.0885,43.8331,69.9668,0.4689,0.0918,0.0935,0.1382,1.1366,1.1267,1.1391,1.1323,89.27619,55.94061,38.31593
